OID_,_id1,OBJECTI2,SEGMENT3,INSTALL4,UPGRADE5,PRE_AMA6,STREET_7,FROM_ST8,TO_STRE9,ROADCLA10,CNPCLAS11,SURFACE12,OWNER13,DIR_LOW14,INFRA_L15,SEPA_LO16,SEPB_LO17,ORIG_LO18,DIR_HIG19,INFRA_H20,SEPA_HI21,SEPB_HI22,ORIG_HI23,BYLAWED24,EDITOR25,LAST_ED26,UPGRADE27,CONVERT28,starx,stary,ex,ey,cex,cey,len,lennorm,OBJECTID,Join_Count,TARGET_FID,_id1_1,CENTREL2,LINEAR_26,LINEAR_27,LINEAR_28,LINEAR_29,LINEAR_30,FROM_IN31,TO_INTE32,ONEWAY_33,ONEWAY_34,FEATURE35,FEATURE36,JURISDI37,CENTREL38,OBJECTI39,MI_PRIN40,lenkm,Shape_Length
755,756,756,756,2014,0, ,Bathurst St,Richmond St W,Adelaide St W, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.40323373,43.64519201,-79.40376095,43.64647175,-79.4034986,43.64583136,148.4126243,0,83,8,755,756,8457245,Bathurst,St,None,None,Bathurst St,13467515,13467372,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,16093,16093,0.110720743,0.001384092
756,757,757,757,2014,0, ,Simcoe St,82.7 M N Front St,Front St W, , , , , ,Sharrows, , , , ,Cycle Track, , , , , ,2023-01-16T19:53:01, , ,-79.3850215,43.64477561,-79.38532248,43.64548763,-79.38517199,43.64513162,82.75279203,0,84,4,756,757,7929641,Simcoe,St,None,None,Simcoe St,13467593,13467394,-1,Against-Digitization,201400,Collector,CITY OF TORONTO,None,128297,128297,0.14857544,0.000773023
760,761,761,761,2014,0, ,Lansdowne Ave,Dundas St W,Ln 2 S Dundas E Lansdowne, , , , , ,Sharrows - Arterial - Connector, , , , ,Bike Lane - Buffered, , , , , ,2023-01-16T19:53:01, , ,-79.43955434,43.64950902,-79.43973122,43.65016841,-79.43964151,43.64983906,74.63998565,0,85,8,760,761,14018972,Lansdowne,Ave,None,None,Lansdowne Ave,14018973,13466826,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,13421,13421,0.043824405,0.000682717
761,762,762,762,2014,2020, ,Dundas St W,College St,Lansdowne Ave, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.43973122,43.65016841,-79.44102031,43.65028126,-79.44037577,43.65022484,104.7514471,0,86,6,761,762,1145532,Dundas,St,W,None,Dundas St W,13466826,13466813,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,13416,13416,0.104751447,0.001294019
762,763,763,763,2014,0, ,Bathurst St,Adelaide St W,Adelaide St W, , , , , ,Bi-Directional Cycle Track, , , , ,Bi-Directional Cycle Track, , , , , ,2023-01-16T19:53:01, , ,-79.40310557,43.64489044,-79.40323373,43.64519201,-79.40316965,43.64504122,35.06586357,0,87,5,762,763,8457315,Bathurst,St,None,None,Bathurst St,13467605,13467569,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,239019,239019,0.035065864,0.000327679
805,806,806,806,2013,0, ,Shaw St,King St W,Douro St, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.41470718,43.64064336,-79.41501887,43.64143715,-79.41486303,43.64104026,91.70953173,0,88,6,805,806,1146871,Shaw,St,None,None,Shaw St,13468158,13468053,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,16812,16812,0.091709532,0.000852788
806,807,807,807,2013,0, ,Shaw St,8.3 M N C P R,Dupont St, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.42661147,43.67059553,-79.42697814,43.67151856,-79.42680666,43.67105197,106.9302191,0,89,5,806,807,14012309,Dupont,St,None,None,Dupont St,14012310,13463468,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,233361,233361,0.050905885,0.000996352
822,823,823,823,2016,0, ,Howland Ave,Bridgeman Ave,13 M S C P R, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.41213481,43.67432011,-79.41232024,43.67486258,-79.4122351,43.67458899,62.15110655,0,90,5,822,823,30068221,Howland,Ave,None,None,Howland Ave,13462807,30068220,0,Not One-Way,201500,Local,CITY OF TORONTO,None,177462,177462,0.026271096,0.000574101
823,824,824,824,2016,0, ,Lake Shore W Blvd,Park Lawn Rd,43.4 M N Shore Breeze Dr, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.4803439,43.6245096,-79.48121131,43.62296877,-79.48074582,43.62372035,185.0718964,0,91,5,823,824,30070016,Lake Shore,Blvd,W,None,Lake Shore Blvd W,30070014,13469683,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,181572,181572,0.141679353,0.001769856
825,826,826,826,2016,0, ,Lansdowne Ave,College St,Dundas St W, , , , , ,Sharrows - Arterial - Connector, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.43999967,43.65101218,-79.43973122,43.65016841,-79.43986545,43.6505903,96.21615288,0,92,9,825,826,14017976,Lansdowne,Ave,None,None,Lansdowne Ave,13466826,14017978,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,13419,13419,0.063149124,0.000885442
